"","Player_Names","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","npxG","xA","npxG.xA","Goals.1","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","Penalty.Kicks.Made.1","Penalty.Kicks.Attempted.1","xG.1","npxG.1","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Assists.1","xA.1","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Passes.Attempted.1","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Completed.1","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Passes.Blocked.1","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Yellow.Cards.1","Red.Cards.1","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Crosses.1","Interceptions.1","Tackles.Won.1","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","Player_valuation"
"27","Adolfo Gaich","  0.24","  0.00","  0.24","  0.00","  0.00","  0.12","  0.00","  0.30","  0.30","  0.02","  0.33","  0.24","  2.77","  0.84"," 30.40","  0.09","  0.29"," 13.70","  0.00","  0.00","  0.00","  0.30","  0.30","  0.11"," -0.06"," -0.06"," 10.48"," 16.63"," 63.00","150.00"," 26.39","  5.78","  8.43"," 68.60","  2.89","  4.46"," 64.90","  0.96","  1.20"," 80.00","  0.00","  0.02","  0.48","  0.24","  0.36","  0.12","  0.60"," 16.63"," 15.78","  0.84","  0.00","  0.12","  4.58","  0.12","  0.36","  0.12","  0.00","  0.00","  0.00","  9.04","  5.42","  2.17","  0.72"," 12.05","  2.05","  0.00","  0.84"," 10.48","  0.12","  0.36","  0.36","  0.96","  1.45","  0.84","  0.00","  0.12","  0.00","  0.24","  0.24","  0.36","  0.12","  0.00","  0.12","  0.00","  0.00","  0.12","  1.20","  0.36","  0.24","  0.84","  0.12","  0.00","  0.96","  0.00","  0.96"," 23.86","  4.82"," 20.20","  1.81"," 13.49","  8.55","  0.96","  0.00","  0.00","  0.96","  0.60","  1.81","  0.48","  0.00"," 30.84","  0.48","  1.93"," 16.75"," 14.10","  4.70"," 30.00","  1.08","  2.41"," 45.00","  1.33","  0.48"," 16.39"," 63.73"," 25.78","  1.33","  0.48","  0.24","  2.89","  1.57"," 48.19"," 22.05"," 45.80","  7.59","  0.12","  0.00","  0.00","  3.61","  2.29","  0.24","  0.36","  0.60","  0.36","  0.00","  0.12","  0.00","  3.37","  1.69","  6.02"," 21.90",5000000
"28","Adri Embarba","  0.00","  0.11","  0.00","  0.00","  0.00","  0.11","  0.00","  0.15","  0.15","  0.12","  0.28","  0.00","  2.26","  0.77"," 34.10","  0.00","  0.00"," 22.80","  0.77","  0.00","  0.00","  0.15","  0.15","  0.07"," -0.15"," -0.15"," 22.16"," 36.21"," 61.20","381.27","121.91"," 11.30"," 13.72"," 82.30","  6.94"," 11.02"," 63.00","  2.87","  8.71"," 32.90","  0.11","  0.12","  1.60","  1.21","  1.16","  0.55","  1.93"," 36.21"," 28.93","  7.28","  1.76","  0.00","  6.67","  1.87","  3.53","  5.29","  1.71","  2.20","  0.11"," 19.01","  5.84"," 11.35","  5.62"," 28.00","  1.27","  0.22","  0.39"," 22.16","  0.33","  1.10","  1.32","  2.20","  3.86","  1.82","  1.05","  0.39","  0.22","  0.22","  0.17","  0.33","  0.11","  0.17","  0.00","  0.06","  0.00","  0.00","  1.43","  0.88","  0.61","  0.44","  0.39","  0.66","  2.31"," 28.60","  1.65"," 13.89","  3.36"," 24.20","  3.86","  6.17","  3.86","  1.76","  0.11","  0.00","  1.65","  1.27","  2.70","  1.16","  0.00"," 50.10","  1.71","  7.66"," 19.12"," 27.17","  2.26"," 42.44","  1.32","  2.98"," 44.40","  1.54","  0.22"," 30.20","179.56","104.00","  5.79","  1.76","  0.88","  2.31","  1.76"," 37.26"," 29.10"," 78.10","  3.58","  0.11","  0.00","  0.00","  1.65","  2.04","  0.33","  3.53","  1.27","  0.88","  0.00","  0.00","  0.00","  7.11","  0.77","  1.27"," 37.80",6000000
"29","Adrián Cubas","  0.00","  0.00","  0.00","  0.00","  0.00","  0.13","  0.00","  0.03","  0.03","  0.03","  0.07","  0.00","  0.53","  0.13"," 25.00","  0.00","  0.00"," 22.20","  0.00","  0.00","  0.00","  0.03","  0.03","  0.06"," -0.03"," -0.03"," 31.73"," 38.36"," 82.70","653.89","197.92"," 10.62"," 12.48"," 85.10"," 15.13"," 16.86"," 89.80","  5.44","  7.83"," 69.50","  0.00","  0.03","  0.40","  1.86","  0.27","  0.00","  3.58"," 38.36"," 36.90","  1.46","  1.46","  0.00","  6.11","  0.93","  0.27","  0.00","  0.00","  0.00","  0.00"," 27.61","  4.78","  5.97","  6.50"," 30.53","  1.19","  0.00","  0.00"," 31.73","  0.13","  0.53","  1.73","  0.53","  0.93","  0.80","  0.00","  0.00","  0.00","  0.00","  0.13","  0.13","  0.13","  0.00","  0.00","  0.00","  0.00","  0.00","  2.79","  2.26","  1.33","  1.19","  0.27","  1.33","  2.79"," 47.60","  1.46"," 34.38"," 11.15"," 32.40"," 18.19"," 14.07","  2.12","  1.33","  0.53","  0.00","  0.80","  2.92","  5.71","  1.73","  0.00"," 48.19","  3.19"," 18.72"," 26.81","  5.31","  0.27"," 46.99","  0.53","  0.80"," 66.70","  0.66","  0.00"," 32.79","155.31"," 85.35","  1.73","  0.00","  0.00","  0.40","  1.73"," 27.08"," 25.75"," 95.10","  0.53","  0.13","  0.00","  0.00","  1.59","  0.80","  0.00","  0.27","  2.92","  2.26","  0.00","  0.00","  0.00"," 11.68","  0.27","  1.19"," 18.20",2500000
"30","Adrian Grbic","  0.27","  0.00","  0.13","  0.13","  0.13","  0.13","  0.00","  0.35","  0.24","  0.07","  0.32","  0.27","  2.28","  1.07"," 47.10","  0.06","  0.13"," 19.40","  0.54","  0.13","  0.13","  0.35","  0.24","  0.11"," -0.08"," -0.11"," 13.97"," 20.69"," 67.50","173.42"," 36.81","  9.94"," 13.16"," 75.50","  2.82","  4.43"," 63.60","  0.27","  0.67"," 40.00","  0.00","  0.07","  0.54","  0.67","  0.13","  0.00","  1.07"," 20.69"," 19.07","  1.61","  0.13","  0.00","  6.72","  0.54","  0.27","  0.00","  0.00","  0.00","  0.00"," 12.49","  4.43","  3.76","  1.61"," 14.78","  1.61","  0.13","  0.27"," 13.97","  0.00","  0.54","  1.07","  1.34","  1.21","  0.81","  0.00","  0.13","  0.13","  0.13","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.54","  0.40","  0.00","  0.54","  0.00","  0.13","  0.81"," 16.70","  0.67"," 18.13","  3.76"," 20.70","  1.61","  9.27","  7.25","  0.81","  0.13","  0.00","  0.67","  0.40","  0.94","  0.94","  0.00"," 31.03","  1.34","  4.84"," 14.78"," 12.76","  3.22"," 28.75","  0.40","  0.67"," 60.00","  0.54","  0.00"," 15.18"," 59.24"," 34.79","  1.34","  0.54","  0.27","  2.28","  1.34"," 37.07"," 20.42"," 55.10","  4.70","  0.13","  0.00","  0.00","  1.61","  2.01","  0.13","  0.27","  0.40","  0.40","  0.00","  0.00","  0.00","  4.84","  2.55","  3.49"," 42.20",4000000
"31","Adrien Hunou","  0.37","  0.05","  0.37","  0.00","  0.00","  0.11","  0.00","  0.54","  0.54","  0.10","  0.64","  0.37","  3.52","  1.31"," 37.30","  0.10","  0.28"," 14.80","  0.00","  0.00","  0.00","  0.54","  0.54","  0.15"," -0.17"," -0.17"," 20.48"," 26.46"," 77.40","308.02"," 37.23"," 12.29"," 14.23"," 86.30","  6.09","  8.51"," 71.60","  1.58","  2.05"," 76.90","  0.05","  0.10","  0.89","  1.05","  0.68","  0.05","  1.05"," 26.46"," 24.26","  2.21","  0.00","  0.00","  4.99","  0.16","  0.42","  0.00","  0.00","  0.00","  0.00"," 18.48","  5.36","  2.63","  1.68"," 21.48","  1.73","  0.42","  0.11"," 20.48","  0.16","  0.42","  1.68","  0.74","  2.31","  1.63","  0.00","  0.11","  0.16","  0.32","  0.11","  0.16","  0.05","  0.00","  0.00","  0.11","  0.00","  0.00","  0.63","  0.26","  0.05","  0.26","  0.32","  0.32","  0.84"," 37.50","  0.53"," 15.49","  4.52"," 29.20","  1.05","  4.94","  9.50","  0.68","  0.11","  0.00","  0.58","  0.26","  0.89","  0.11","  0.00"," 36.81","  0.26","  1.63"," 14.18"," 22.53","  5.67"," 34.60","  0.63","  1.05"," 60.00","  0.63","  0.00"," 22.16"," 88.11"," 40.96","  2.42","  0.53","  0.53","  1.89","  1.26"," 48.94"," 28.25"," 57.70","  9.87","  0.11","  0.00","  0.00","  0.84","  1.47","  0.74","  0.42","  0.26","  0.26","  0.00","  0.00","  0.00","  3.68","  1.21","  2.89"," 29.50",3500000
"32","Adrien Rabiot","  0.12","  0.12","  0.12","  0.00","  0.00","  0.12","  0.00","  0.09","  0.09","  0.07","  0.16","  0.12","  1.40","  0.44"," 31.30","  0.08","  0.27"," 17.60","  0.00","  0.00","  0.00","  0.09","  0.09","  0.07","  0.02","  0.02"," 41.20"," 47.83"," 86.10","715.50","171.99"," 18.64"," 20.98"," 88.90"," 17.59"," 19.58"," 89.90","  4.09","  5.32"," 76.90","  0.12","  0.07","  0.47","  3.21","  0.64","  0.15","  3.07"," 47.83"," 46.43","  1.40","  0.99","  0.00","  8.50","  0.53","  0.64","  0.00","  0.00","  0.00","  0.00"," 37.61","  5.49","  4.73"," 32.90"," 11.05","  1.87","  0.38","  0.18"," 41.20","  0.06","  0.56","  1.08","  1.23","  1.58","  1.37","  0.00","  0.06","  0.15","  0.00","  0.00","  0.23","  0.20","  0.00","  0.00","  0.03","  0.00","  0.00","  2.75","  1.93","  1.58","  0.94","  0.23","  0.64","  1.43"," 44.90","  0.79"," 21.45","  6.87"," 32.00","  8.74","  9.35","  3.36","  1.78","  0.26","  0.00","  1.52","  1.34","  4.09","  1.31","  0.00"," 59.52","  3.51"," 16.33"," 32.90"," 14.93","  2.16"," 58.15","  0.76","  1.23"," 61.90","  0.85","  0.00"," 39.83","268.19","129.01","  5.11","  1.81","  0.47","  0.99","  1.23"," 45.56"," 40.65"," 89.20","  2.40","  0.12","  0.00","  0.00","  1.99","  1.31","  0.03","  0.64","  1.34","  1.93","  0.00","  0.03","  0.00","  8.80","  2.07","  1.08"," 65.70",22000000
"33","Adrien Silva","  0.05","  0.11","  0.05","  0.00","  0.00","  0.32","  0.11","  0.03","  0.03","  0.05","  0.08","  0.05","  0.53","  0.16"," 30.00","  0.10","  0.33"," 22.90","  0.00","  0.00","  0.00","  0.03","  0.03","  0.05","  0.03","  0.03"," 44.76"," 51.83"," 86.40","944.87","217.85"," 14.94"," 17.22"," 86.70"," 20.52"," 22.49"," 91.30","  8.67"," 10.58"," 81.90","  0.11","  0.05","  0.74","  3.67","  0.53","  0.11","  4.04"," 51.83"," 49.39","  2.45","  2.34","  0.00","  7.87","  2.76","  0.43","  0.00","  0.00","  0.00","  0.00"," 37.00","  6.01","  8.82","  9.36"," 39.13","  2.34","  0.11","  0.21"," 44.76","  0.11","  0.43","  1.49","  0.74","  1.75","  1.59","  0.11","  0.00","  0.05","  0.00","  0.00","  0.16","  0.11","  0.05","  0.00","  0.00","  0.00","  0.00","  2.60","  1.44","  1.38","  0.90","  0.32","  0.96","  2.39"," 40.00","  1.44"," 22.17","  6.33"," 28.50","  7.81"," 10.90","  3.46","  1.91","  0.37","  0.00","  1.54","  2.23","  4.84","  1.33","  0.00"," 62.68","  3.03"," 16.90"," 39.76","  9.62","  0.64"," 60.55","  0.58","  1.06"," 55.00","  0.58","  0.00"," 39.50","159.11"," 82.45","  3.08","  0.90","  0.05","  0.64","  1.17"," 41.52"," 39.02"," 94.00","  1.17","  0.32","  0.11","  0.05","  1.86","  1.38","  0.00","  0.43","  2.23","  1.44","  0.00","  0.11","  0.00"," 11.64","  0.90","  1.33"," 40.50",2500000
"34","Adrien Tameze","  0.16","  0.04","  0.16","  0.00","  0.00","  0.20","  0.00","  0.05","  0.05","  0.04","  0.08","  0.16","  0.80","  0.24"," 30.00","  0.20","  0.67"," 20.00","  0.00","  0.00","  0.00","  0.05","  0.05","  0.06","  0.11","  0.11"," 37.64"," 46.36"," 81.20","689.16","192.56"," 16.36"," 19.16"," 85.40"," 15.64"," 18.28"," 85.60","  4.72","  7.20"," 65.60","  0.04","  0.04","  0.68","  3.44","  0.64","  0.08","  4.28"," 46.36"," 44.16","  2.20","  1.12","  0.00","  7.28","  0.88","  0.76","  0.00","  0.00","  0.00","  0.00"," 32.00","  6.64","  7.72","  4.48"," 36.88","  2.68","  1.04","  0.28"," 37.64","  0.28","  0.80","  1.60","  0.76","  1.72","  1.32","  0.00","  0.12","  0.08","  0.08","  0.12","  0.16","  0.12","  0.00","  0.04","  0.00","  0.00","  0.00","  1.84","  1.28","  0.88","  0.76","  0.20","  0.60","  1.64"," 36.60","  1.04"," 18.08","  5.76"," 31.90","  5.92","  9.08","  3.08","  1.68","  0.32","  0.00","  1.36","  2.48","  4.32","  1.84","  0.04"," 58.68","  2.84"," 14.36"," 33.88"," 13.56","  1.40"," 56.76","  1.20","  1.88"," 63.80","  1.24","  0.08"," 37.72","190.20"," 96.64","  3.60","  1.08","  0.24","  1.68","  1.16"," 38.56"," 35.20"," 91.30","  2.48","  0.20","  0.00","  0.00","  1.52","  1.40","  0.08","  0.76","  2.48","  1.28","  0.00","  0.04","  0.00"," 11.76","  1.72","  1.76"," 49.40",7000000
"35","Adrien Thomasson","  0.23","  0.16","  0.23","  0.00","  0.00","  0.19","  0.03","  0.23","  0.23","  0.19","  0.41","  0.23","  1.69","  0.55"," 32.70","  0.13","  0.41"," 15.80","  0.00","  0.00","  0.00","  0.23","  0.23","  0.14","  0.00","  0.00"," 36.74"," 47.52"," 77.30","633.89","147.90"," 17.56"," 21.10"," 83.20"," 14.54"," 17.46"," 83.30","  3.73","  6.13"," 60.80","  0.16","  0.19","  1.20","  3.38","  1.10","  0.29","  3.67"," 47.52"," 45.24","  2.27","  0.62","  0.23"," 10.58","  0.88","  1.82","  0.23","  0.03","  0.06","  0.00"," 34.66","  6.65","  6.20","  8.89"," 35.08","  1.88","  0.68","  0.29"," 36.74","  0.23","  0.65","  2.11","  1.79","  3.21","  2.30","  0.13","  0.32","  0.26","  0.13","  0.06","  0.49","  0.32","  0.00","  0.03","  0.10","  0.03","  0.00","  2.43","  1.33","  0.81","  0.94","  0.68","  0.94","  3.15"," 29.90","  2.21"," 29.15","  8.18"," 28.10","  6.39"," 13.24","  9.51","  2.24","  0.23","  0.00","  2.01","  1.69","  4.12","  0.52","  0.00"," 61.37","  0.88","  8.89"," 29.99"," 25.25","  5.36"," 59.20","  1.30","  2.14"," 60.60","  1.40","  0.10"," 39.86","177.11"," 78.28","  3.34","  0.97","  0.55","  1.88","  1.91"," 52.19"," 41.19"," 78.90","  6.23","  0.19","  0.03","  0.00","  1.46","  1.66","  0.16","  1.82","  1.69","  1.33","  0.03","  0.00","  0.00","  9.77","  0.75","  1.85"," 28.80",8000000
"36","Adrien Truffert","  0.18","  0.06","  0.18","  0.00","  0.00","  0.18","  0.00","  0.11","  0.11","  0.07","  0.18","  0.18","  1.24","  0.24"," 19.00","  0.14","  0.75"," 21.20","  0.00","  0.00","  0.00","  0.11","  0.11","  0.09","  0.07","  0.07"," 52.64"," 63.38"," 83.10","869.84","264.04"," 26.38"," 29.27"," 90.10"," 22.07"," 25.61"," 86.20","  3.48","  6.26"," 55.70","  0.06","  0.07","  0.65","  3.42","  1.06","  0.47","  4.07"," 63.38"," 54.35","  9.03","  0.89","  0.06","  8.09","  0.71","  2.36","  0.00","  0.00","  0.00","  0.00"," 44.20"," 10.33","  8.85"," 45.21","  7.20","  2.36","  8.14","  0.00"," 52.64","  0.30","  0.65","  2.01","  2.12","  1.71","  1.36","  0.00","  0.12","  0.12","  0.06","  0.06","  0.18","  0.18","  0.00","  0.00","  0.00","  0.00","  0.00","  1.65","  0.83","  0.94","  0.53","  0.18","  0.71","  1.95"," 36.40","  1.24"," 16.41","  3.90"," 23.70","  5.96","  6.96","  3.48","  2.95","  0.41","  0.00","  2.54","  1.53","  3.19","  2.36","  0.06"," 75.30","  2.66"," 19.18"," 38.60"," 22.90","  2.12"," 66.69","  1.00","  1.89"," 53.10","  1.24","  0.06"," 49.93","268.64","156.57","  8.44","  2.60","  0.71","  1.18","  0.53"," 52.58"," 48.75"," 92.70","  3.36","  0.18","  0.00","  0.00","  1.24","  0.89","  0.00","  2.36","  1.53","  0.83","  0.00","  0.00","  0.00","  7.91","  0.94","  1.24"," 43.20",11000000
"37","Ahmad Benali","  0.00","  0.14","  0.00","  0.00","  0.00","  0.14","  0.00","  0.04","  0.04","  0.11","  0.16","  0.00","  0.57","  0.14"," 25.00","  0.00","  0.00"," 14.10","  0.00","  0.00","  0.00","  0.04","  0.04","  0.08"," -0.04"," -0.04"," 39.90"," 48.09"," 83.00","724.88","180.72"," 16.36"," 18.52"," 88.40"," 18.09"," 20.38"," 88.70","  4.31","  7.46"," 57.70","  0.14","  0.11","  1.29","  2.44","  0.29","  0.14","  2.58"," 48.09"," 44.21","  3.88","  1.29","  0.00","  8.18","  1.44","  1.29","  2.15","  0.43","  0.86","  0.43"," 35.31","  4.02","  8.76"," 10.77"," 34.31","  1.87","  0.43","  0.00"," 39.90","  0.29","  0.57","  0.86","  0.72","  2.44","  1.87","  0.43","  0.00","  0.00","  0.14","  0.00","  0.14","  0.14","  0.00","  0.00","  0.00","  0.00","  0.00","  1.58","  1.29","  0.72","  0.86","  0.00","  0.86","  3.16"," 27.30","  2.30"," 21.82","  6.32"," 28.90","  8.61","  9.47","  3.73","  0.86","  0.14","  0.00","  0.72","  1.00","  2.58","  1.87","  0.00"," 56.41","  3.88"," 17.22"," 30.14"," 11.91","  2.15"," 52.68","  0.29","  0.57"," 50.00","  0.29","  0.00"," 38.61","139.95"," 59.71","  2.58","  1.29","  0.14","  0.72","  1.72"," 43.92"," 39.19"," 89.20","  3.01","  0.14","  0.00","  0.00","  1.15","  1.00","  0.14","  1.29","  1.00","  1.29","  0.00","  0.00","  0.00","  7.18","  1.00","  0.43"," 70.00",1500000
"38","Ahmed Elmohamady","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.05","   0.05","   0.05","   0.11","   0.00","   1.09","   0.18","  16.70","   0.00","   0.00","  11.40","   0.00","   0.00","   0.00","   0.05","   0.05","   0.04","  -0.05","  -0.05","  56.07","  68.59","  81.70","1100.69"," 428.04","  23.23","  25.22","  92.10","  23.23","  28.13","  82.60","   9.07","  13.79","  65.80","   0.00","   0.05","   1.27","   4.72","   2.90","   0.73","   6.35","  68.59","  56.07","  12.52","   1.81","   0.00","   9.07","   2.00","   3.45","   0.00","   0.00","   0.00","   0.00","  33.39","  19.96","  15.24","   0.54","  50.99","   3.81","  10.71","   0.36","  56.07","   0.18","   1.27","   1.27","   0.91","   1.63","   1.63","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.18","   1.63","   0.91","   0.54","   0.73","   0.36","   0.73","  50.00","   0.36","   7.44","   2.90","  39.00","   3.81","   2.18","   1.45","   2.00","   0.54","   0.00","   1.45","   2.90","   5.08","   3.45","   0.00","  79.29","   4.90","  24.86","  33.02","  25.58","   1.63","  67.32","   0.18","   0.36","  50.00","   0.18","   0.00","  40.65"," 194.33"," 119.58","   6.17","   2.00","   0.36","   0.18","   0.73","  49.35","  45.91","  93.00","   2.54","   0.00","   0.00","   0.00","   0.54","   0.36","   0.00","   3.45","   2.90","   1.63","   0.00","   0.00","   0.00","   8.89","   3.63","   1.27","  74.10",800000
"39","Aihen Muñoz","  0.00","  0.00","  0.00","  0.00","  0.00","  0.25","  0.04","  0.01","  0.01","  0.07","  0.08","  0.00","  0.42","  0.08"," 20.00","  0.00","  0.00"," 24.80","  0.00","  0.00","  0.00","  0.01","  0.01","  0.02"," -0.01"," -0.01"," 40.32"," 53.52"," 75.40","738.99","318.46"," 16.49"," 18.74"," 88.00"," 19.12"," 23.00"," 83.10","  4.01","  9.31"," 43.00","  0.00","  0.07","  0.71","  3.01","  0.75","  0.46","  2.88"," 53.52"," 41.70"," 11.81","  1.29","  0.04","  5.26","  1.17","  2.46","  0.04","  0.04","  0.00","  0.00"," 29.55"," 11.15"," 12.82"," 35.19","  3.97","  2.71"," 10.48","  0.08"," 40.32","  0.08","  1.38","  1.88","  2.09","  1.38","  1.04","  0.17","  0.04","  0.04","  0.08","  0.00","  0.04","  0.00","  0.00","  0.00","  0.04","  0.00","  0.00","  2.30","  1.13","  1.00","  1.09","  0.21","  1.13","  1.92"," 58.70","  0.79"," 13.44","  4.59"," 34.20","  5.76","  6.05","  1.63","  1.25","  0.17","  0.00","  1.09","  1.67","  3.97","  2.55","  0.04"," 64.12","  2.71"," 20.08"," 31.73"," 16.28","  1.00"," 52.60","  0.75","  1.84"," 40.90","  0.92","  0.13"," 36.15","162.68"," 95.09","  4.05","  1.75","  0.33","  1.04","  0.92"," 37.44"," 34.73"," 92.80","  1.92","  0.25","  0.04","  0.04","  1.59","  0.79","  0.00","  2.46","  1.67","  1.13","  0.00","  0.00","  0.00","  8.64","  1.80","  1.80"," 50.00",6000000
"40","Aimen Moueffek","  0.00","  0.00","  0.00","  0.00","  0.00","  0.17","  0.00","  0.02","  0.02","  0.02","  0.03","  0.00","  0.68","  0.17"," 25.00","  0.00","  0.00"," 26.30","  0.00","  0.00","  0.00","  0.02","  0.02","  0.03"," -0.02"," -0.02"," 37.64"," 44.32"," 84.90","697.24","136.37"," 17.28"," 19.33"," 89.40"," 14.71"," 16.77"," 87.80","  5.48","  7.53"," 72.70","  0.00","  0.02","  0.34","  3.76","  0.34","  0.00","  3.59"," 44.32"," 44.14","  0.17","  0.17","  0.00","  6.67","  0.68","  0.17","  0.00","  0.00","  0.00","  0.00"," 36.62","  3.59","  4.11","  4.28"," 36.27","  2.22","  0.00","  0.17"," 37.64","  0.00","  0.68","  0.86","  0.86","  1.54","  1.03","  0.00","  0.17","  0.00","  0.17","  0.17","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.05","  1.88","  0.51","  1.54","  0.00","  0.34","  2.40"," 14.30","  2.05"," 26.18","  8.56"," 32.70","  8.38"," 12.83","  4.96","  1.20","  0.17","  0.00","  1.03","  1.03","  3.08","  0.68","  0.00"," 58.00","  1.71"," 11.98"," 39.70"," 12.49","  0.51"," 57.83","  1.71","  3.76"," 45.50","  2.05","  0.00"," 43.63","242.79","127.64","  6.84","  2.22","  0.00","  1.54","  2.22"," 42.43"," 38.67"," 91.10","  2.57","  0.17","  0.00","  0.00","  1.88","  1.71","  0.00","  0.17","  1.03","  1.88","  0.00","  0.00","  0.00"," 12.15","  1.88","  1.54"," 55.00",2000000
